-- Insert DoctorSchedules Data
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('415a74d5-c5da-4a1e-bf53-1504977541bd', '2025-09-13', 'b1f5a110-0001-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('9bfc2ef7-1e6f-476c-9cd3-0d6b269c5695', '2025-09-14', 'b1f5a110-0001-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('951c849d-cd7d-41e4-acae-eafcfe37df3e', '2025-09-15', 'b1f5a110-0001-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('ef4131be-c4f8-43f7-91d4-1b228e3b6c98', '2025-09-16', 'b1f5a110-0001-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('7112619d-92ba-4a4a-afe7-9dcc5792b21b', '2025-09-17', 'b1f5a110-0001-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('33db1313-fbc4-43f0-a04c-efbf260db6e7', '2025-09-18', 'b1f5a110-0001-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('c617b657-0dc5-454f-a8e6-bc904747ae9f', '2025-09-19', 'b1f5a110-0001-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('6ab61ba8-07c9-4318-82a9-3257abf757e0', '2025-09-13', 'b1f5a110-0002-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('2cf95ec3-7d71-4b33-ae03-051dd7fdb4e8', '2025-09-14', 'b1f5a110-0002-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('fede67b8-3537-4787-9e13-d4aea49f945c', '2025-09-15', 'b1f5a110-0002-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('14690c38-7c04-477f-aa53-e991bd52bfa6', '2025-09-16', 'b1f5a110-0002-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('508a54d5-dfc9-42fc-8366-5717897d6b5f', '2025-09-17', 'b1f5a110-0002-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('42225b07-d490-41d9-ae7d-797694dc7760', '2025-09-18', 'b1f5a110-0002-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('b1a76bf6-107b-4c44-9b1d-f8c83c0b9440', '2025-09-19', 'b1f5a110-0002-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('f45dff30-4bc4-47a8-8d39-c5aa8d896ae4', '2025-09-13', 'b1f5a110-0003-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('e1ccd030-8b5d-47a9-aedc-420b1027641c', '2025-09-14', 'b1f5a110-0003-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('c65ae33a-8322-4176-9ca9-b27476932027', '2025-09-15', 'b1f5a110-0003-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('2a3db5f0-d295-4c38-b987-56bcd2b1e2fa', '2025-09-16', 'b1f5a110-0003-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('974d0324-39e3-414d-879b-cafca0e2891f', '2025-09-17', 'b1f5a110-0003-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('3219082b-991e-4654-bc4b-7ff55b51feb4', '2025-09-18', 'b1f5a110-0003-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('0e7c0ff7-d134-4118-ae4d-f3c713422613', '2025-09-19', 'b1f5a110-0003-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('5a10135e-85e1-4885-9065-4e3297ed57bd', '2025-09-13', 'b1f5a110-0004-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('dd9cf57e-acae-4258-9aa1-7ef79f0136f6', '2025-09-14', 'b1f5a110-0004-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('9cf2c5f0-d36d-4b3f-a271-c4629449d271', '2025-09-15', 'b1f5a110-0004-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('cc8e8746-074f-4019-8616-f228dde8b983', '2025-09-16', 'b1f5a110-0004-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('6cac52c3-d316-4e9c-9c2d-ae538e64ff4c', '2025-09-17', 'b1f5a110-0004-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('969ab645-fa8f-44db-8e12-866c13723aaf', '2025-09-18', 'b1f5a110-0004-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('7acd2f04-7ed7-49f2-89eb-9421cb7bd212', '2025-09-19', 'b1f5a110-0004-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('918359ad-e05f-4dc5-a827-fccfdc4179c0', '2025-09-13', 'b1f5a110-0005-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('8aae0a77-bc48-4c9c-aca0-62f3c5865700', '2025-09-14', 'b1f5a110-0005-4e23-bc11-aaa111111111', TRUE);
INSERT INTO DoctorSchedules (ScheduleID, Date, DoctorID, IsAvailable) VALUES ('c39bd239-f7a9-4cfd-99fc-17c2f1ea6520', '2025-09-15', 'b1f5a110-0005-4e23-bc11-aaa111111111', TRUE);
